Frame,Time_Seconds,Knee_Angle_Raw,Knee_Angle_SG,Hip_Angle_SG,Elbow_Angle_SG,Ground_Truth,Prediction
0,0.0,174.9102573742791,174.81211257314564,165.3437778256666,173.34389011293572,Standing,Standing
1,0.02,174.9102573742791,174.9472115219428,165.34241631097865,173.81802892046204,Standing,Standing
2,0.04,174.9102573742791,175.06747349733791,165.34269020068746,174.20189778716812,Standing,Standing
3,0.06,174.87352931552593,175.17268948611127,165.34450104944744,174.49598288922172,Standing,Standing
4,0.08,175.80515129915474,175.26266514664192,165.34776650405956,174.70059055564414,Standing,Standing
5,0.1,175.34999897732155,175.33722363364652,165.35241964887183,174.81584336879166,Standing,Standing
6,0.12,175.34999897732155,175.42296454697438,165.4331068147994,174.63543230000627,Standing,Standing
7,0.14,175.3138502253347,175.45953084808906,165.46135357251677,174.65968785927018,Standing,Standing
8,0.16,175.42684087454776,175.54477205010548,165.39593818185728,174.55703136185846,Standing,Standing
9,0.18,175.50242368224173,175.46082605524296,165.38010543078687,174.66116717484323,Standing,Standing
10,0.2,175.50242368224173,175.41767928925262,165.29894647025168,174.5710413916835,Standing,Standing
11,0.22,175.39069212256098,175.26316163681005,165.3470093703463,174.5640398592532,Standing,Standing
12,0.24,175.50242368224173,175.08640665032496,165.44506261922,174.65487130192287,Standing,Standing
13,0.26,174.46588897988474,174.87670506072612,165.575198445828,174.79036955754134,Standing,Standing
14,0.28,174.46588897988474,174.59325437678058,165.76527660772726,174.97520389768601,Standing,Standing
15,0.3,174.46588897988474,174.46804925898044,165.90520284203444,175.1614551618313,Standing,Standing
16,0.32,174.57780789874704,174.47943696455943,165.92499002439916,175.35475678631582,Standing,Standing
17,0.34,174.46588897988474,174.59888244504626,165.86944673269744,175.57362619201558,Standing,Standing
18,0.36,174.46588897988474,174.91880561135758,165.6437605729986,175.3859679827753,Standing,Standing
19,0.38,175.50242368224173,175.11858967745752,165.55312086197372,175.0722314811096,Standing,Standing
20,0.4,175.42684087454776,175.32062631162265,165.46944955932167,174.39729700885474,Standing,Standing
21,0.42,175.42684087454776,175.36203305531288,165.5359051993886,173.76533009474463,Standing,Standing
22,0.44,175.50242368224173,175.2009173430967,165.76732406167318,172.98756286756625,Standing,Standing
23,0.46,174.9711093186789,174.99143561762673,166.0447140664837,172.07422752540685,Standing,Standing
24,0.48,174.8616944974439,174.7179682551282,166.35382917588453,171.2087727169545,Standing,Standing
25,0.5,174.04220777545467,174.59170893444565,166.57524081495177,170.4489433596624,Standing,Standing
26,0.52,174.04220777545467,174.56201695718005,166.65156587931293,169.9226140545127,Standing,Standing
27,0.54,174.93853639467116,174.59149823829017,166.66431294285616,169.20633498752053,Standing,Standing
28,0.56,174.8616944974439,174.61829453103238,166.6685852273494,168.41472005206396,Standing,Standing
29,0.58,174.8616944974439,174.5625313037211,166.87006546894165,167.53317484609315,Standing,Standing
30,0.6,174.8616944974439,174.59855066204918,167.04121483578382,166.6861147240358,Standing,Standing
31,0.62,174.40902845699173,174.6255148429871,167.36537268702492,165.7260287000288,Standing,Standing
32,0.64,174.0581355457704,174.70262141772852,167.68670465046657,164.93180769154355,Standing,Standing
33,0.66,174.50665607158896,174.89423813440558,168.01888480797527,164.40475447559567,Standing,Standing
34,0.68,175.43488189299518,175.10012890228882,168.34213268465984,164.0142501690882,Standing,Standing
35,0.7,175.84593278432666,175.31545591700527,168.59622522707147,164.02627374659525,Standing,Standing
36,0.72,175.81740258402178,175.44825939133852,168.76062144994012,164.19322209083745,Standing,Standing
37,0.74,175.36782490968875,175.60906711349514,168.82511672858746,164.41560050757766,Standing,Standing
38,0.76,175.36782490968875,175.62948082218995,168.93673454073152,164.78946626076223,Standing,Standing
39,0.78,175.36782490968875,175.5852430730926,169.08317529766745,165.13190264164564,Standing,Standing
40,0.8,175.36782490968875,175.62043430344556,169.11311868436164,165.50930047944513,Standing,Standing
41,0.82,176.32719120557798,175.73263239213605,169.1136907826986,165.71708388475096,Standing,Standing
42,0.84,175.87407058601974,175.87878655599357,169.03534032521438,166.05683252011525,Standing,Standing
43,0.86,175.87407058601974,175.9615583658082,169.0367459140251,166.56098044364435,Standing,Standing
44,0.88,175.9607090780275,176.01007156773863,169.04455019467042,166.7529525892865,Standing,Standing
45,0.9,175.9607090780275,175.999090212552,169.06216634172418,167.22267906749516,Standing,Standing
46,0.92,175.9607090780275,175.91143723838474,169.06775049102401,167.57137450587618,Standing,Standing
47,0.94,175.9607090780275,175.9099626553401,169.02292006844235,167.78297595120853,Standing,Standing
48,0.96,175.9607090780275,175.92125271222312,169.04139663030588,167.8153698119516,Standing,Standing
49,0.98,175.89945639716143,175.95896723062063,169.08190710044897,167.84346177566823,Standing,Standing
50,1.0,175.89945639716143,176.10847482157718,169.0876560783298,167.99215497079263,Standing,Standing
51,1.02,175.9607090780275,176.18099790232424,169.1462785258884,168.14000865049937,Standing,Standing
52,1.04,176.43904110784143,176.14185537651997,169.21259912290918,168.1839238378255,Standing,Standing
53,1.06,176.3817535313657,176.16758289828496,169.29916686653638,168.236009992399,Squatting,Standing
54,1.08,176.3817535313657,176.0715927424568,169.43085640038353,168.10959560648453,Squatting,Standing
55,1.1,175.4423286462559,175.8359088573738,169.7042999898067,167.95302281481835,Squatting,Standing
56,1.12,175.3800371079471,175.66031424037945,169.8891441527408,167.67405706986142,Squatting,Standing
57,1.14,175.80710475077203,175.36917249239784,170.1136342994957,167.18261738995807,Squatting,Standing
58,1.16,174.79475240247137,175.02407096942642,170.37945149404987,166.73156040297826,Squatting,Standing
59,1.18,174.8132051488534,174.80556965695962,170.4744511111177,166.40915468425155,Squatting,Standing
60,1.2,175.25223053984442,174.7104843427551,170.52408151899922,166.31450669047754,Squatting,Standing
61,1.22,174.16050768808662,174.65313951321625,170.4536917208838,166.35759823603297,Squatting,Standing
62,1.24,174.17896043446936,174.6597654026813,170.3026085341125,166.47276059520146,Squatting,Standing
63,1.26,175.16455269664584,174.90698903424456,170.0068844798801,166.80194407069462,Squatting,Standing
64,1.28,175.16455269664584,175.20751338303583,169.63289160555996,167.44062325469665,Squatting,Standing
65,1.3,175.62907227154773,175.41892291896346,169.42220627202494,168.07958170144346,Squatting,Standing
66,1.32,175.62907227154773,175.70466291780545,169.07457413411214,168.70747029757345,Squatting,Standing
67,1.34,176.06323631727756,175.79461992559453,168.79164627182917,169.18072461671636,Squatting,Standing
68,1.36,176.06323631727756,175.7172073262022,168.65922950214738,169.51923522202762,Squatting,Standing
69,1.38,175.19811803731088,175.73987016076336,168.40119157125483,169.6903512721028,Squatting,Standing
70,1.4,175.66220936134184,175.73076667642425,168.2249933767679,169.6920802408487,Squatting,Standing
71,1.42,175.73198649781168,175.86179975267595,167.95469455897427,169.53092126709862,Squatting,Standing
72,1.44,175.7624023035796,175.97397845956573,167.7485719247949,169.3136193177708,Squatting,Standing
73,1.46,176.2297685822341,175.98444603001934,167.56142993855747,169.08359185979276,Squatting,Standing
74,1.48,176.12581222164633,175.90488934239312,167.46820341643107,168.9935656003915,Squatting,Standing
